name,company,year,Price,kms_driven,fuel_type
Aqua,Toyota,2012,5200000,80000,Hybrid
Aqua,Toyota,2013,5600000,80000,Petrol
Aqua,Toyota,2012,5200000,80000,Hybrid
Aqua,Toyota,2012,5200000,80000,Petrol
Aqua,Toyota,2014,6195000,80000,Hybrid
Aqua,Toyota,2015,7475000,80000,Hybrid
Aqua,Toyota,2014,6195000,80000,Hybrid
Aqua,Toyota,2015,7475000,80000,Petrol
Aqua,Toyota,2014,6195000,80500,Hybrid
Aqua,Toyota,2013,5600000,81000,Petrol
Aqua,Toyota,2015,7475000,81000,Petrol
Aqua,Toyota,2013,5600000,81000,Hybrid
Aqua,Toyota,2012,5200000,81250,Hybrid
Aqua,Toyota,2014,6195000,81550,Hybrid
Aqua,Toyota,2013,5600000,82000,Petrol
Aqua,Toyota,2013,5600000,82500,Hybrid
Aqua,Toyota,2013,5600000,82600,Hybrid
Aqua,Toyota,2012,5200000,82700,Petrol
Aqua,Toyota,2012,5200000,82833,Hybrid
Aqua,Toyota,2013,5600000,83000,Petrol
Aqua,Toyota,2013,5600000,83000,Petrol
Aqua,Toyota,2013,5600000,83000,Hybrid
Aqua,Toyota,2012,5200000,83000,Petrol
Aqua,Toyota,2013,5600000,83300,Hybrid
Aqua,Toyota,2014,6195000,84000,Hybrid
Aqua,Toyota,2014,6195000,84500,Hybrid
Aqua,Toyota,2012,5200000,85000,Hybrid
Aqua,Toyota,2014,6195000,85000,Hybrid
Aqua,Toyota,2013,5600000,85000,Petrol
Aqua,Toyota,2012,5200000,85000,Petrol
Aqua,Toyota,2014,6195000,85440,Hybrid
Aqua,Toyota,2013,5600000,86000,Hybrid
Aqua,Toyota,2014,6195000,86000,Hybrid
Aqua,Toyota,2013,5600000,86000,Hybrid
Aqua,Toyota,2012,5200000,87000,Hybrid
Aqua,Toyota,2013,5600000,87000,Petrol
Aqua,Toyota,2013,5600000,87000,Petrol
Aqua,Toyota,2015,7475000,87000,Hybrid
Aqua,Toyota,2012,5200000,88000,Petrol
Aqua,Toyota,2014,6195000,88000,Petrol
Aqua,Toyota,2012,5200000,88000,Hybrid
Aqua,Toyota,2014,6195000,88000,Hybrid
Aqua,Toyota,2013,5600000,88000,Petrol
Aqua,Toyota,2013,5600000,88000,Hybrid
Aqua,Toyota,2014,6195000,88000,Petrol
Aqua,Toyota,2015,7475000,88000,Hybrid
Aqua,Toyota,2014,6195000,88350,Hybrid
Aqua,Toyota,2012,5200000,88500,Hybrid
Aqua,Toyota,2013,5600000,89000,Hybrid
Aqua,Toyota,2013,5600000,89000,Hybrid
Aqua,Toyota,2012,5200000,89600,Hybrid
Aqua,Toyota,2012,5200000,90000,Petrol
Aqua,Toyota,2012,5200000,90000,Hybrid
Aqua,Toyota,2013,5600000,90000,Hybrid
Aqua,Toyota,2013,5600000,90100,Petrol
Aqua,Toyota,2012,5200000,91000,Hybrid
Aqua,Toyota,2014,6195000,91000,Hybrid
Aqua,Toyota,2012,5200000,92000,Petrol
Aqua,Toyota,2013,5600000,92000,Hybrid
Aqua,Toyota,2013,5600000,92000,Petrol
Aqua,Toyota,2014,6195000,92000,Hybrid
Aqua,Toyota,2013,5600000,94000,Hybrid
Aqua,Toyota,2012,5200000,94200,Hybrid
Aqua,Toyota,2012,5200000,94464,Hybrid
Aqua,Toyota,2013,5600000,95000,Petrol
Aqua,Toyota,2013,5600000,96000,Petrol
Aqua,Toyota,2014,6195000,96000,Hybrid
Aqua,Toyota,2014,6195000,96000,Hybrid
Aqua,Toyota,2012,5200000,97000,Hybrid
Aqua,Toyota,2013,5600000,98000,Petrol
Aqua,Toyota,2013,5600000,98000,Hybrid
Aqua,Toyota,2012,5200000,98000,Hybrid
Aqua,Toyota,2012,5200000,98400,Petrol
Aqua,Toyota,2013,5600000,99000,Hybrid
Aqua,Toyota,2013,5600000,99324,Hybrid
Aqua,Toyota,2012,5200000,100000,Hybrid
Aqua,Toyota,2012,5200000,100000,Hybrid
Aqua,Toyota,2013,5600000,100150,Petrol
Aqua,Toyota,2012,5200000,100200,Hybrid
Aqua,Toyota,2013,5600000,102000,Hybrid
Aqua,Toyota,2012,5200000,105000,Hybrid
Aqua,Toyota,2013,5600000,105000,Hybrid
Aqua,Toyota,2013,5600000,107000,Hybrid
Aqua,Toyota,2012,5200000,107000,Hybrid
Aqua,Toyota,2012,5200000,107000,Hybrid
Aqua,Toyota,2012,5200000,109000,Petrol
Aqua,Toyota,2015,7475000,110000,Hybrid
Aqua,Toyota,2012,5200000,111200,Petrol
Aqua,Toyota,2013,5600000,112000,Hybrid
Aqua,Toyota,2012,5200000,112000,Hybrid
Aqua,Toyota,2012,5200000,115000,Hybrid
Aqua,Toyota,2013,5600000,115308,Hybrid
Aqua,Toyota,2012,5200000,116000,Hybrid
Aqua,Toyota,2012,5200000,117000,Petrol
Aqua,Toyota,2012,5200000,119000,Petrol
Aqua,Toyota,2013,5600000,120000,Hybrid
Aqua,Toyota,2012,5200000,120000,Petrol
Aqua,Toyota,2012,5200000,120000,Hybrid
Aqua,Toyota,2013,5600000,132000,Hybrid
Aqua,Toyota,2013,5600000,135000,Hybrid
Aqua,Toyota,2012,5200000,140000,Hybrid
Aqua,Toyota,2012,5200000,144000,Hybrid
Aqua,Toyota,2013,5600000,145000,Hybrid
Aqua,Toyota,2012,5200000,145000,Petrol
Aqua,Toyota,2012,5200000,153000,Hybrid
Aqua,Toyota,2012,5200000,159000,Hybrid
Aqua,Toyota,2012,5200000,166300,Petrol
Aqua,Toyota,2013,5600000,182000,Hybrid
Aqua,Toyota,2012,5200000,220000,Hybrid
Aqua G Grade,Toyota,2015,7475000,7900,Hybrid
Aqua G Grade,Toyota,2018,8950000,15870,Hybrid
Aqua G Grade,Toyota,2012,4875000,40000,Petrol
Aqua G Grade,Toyota,2012,4875000,45000,Petrol
Aqua G Grade,Toyota,2013,5600000,46000,Hybrid
Aqua G Grade,Toyota,2014,6100000,50680,Hybrid
Aqua G Grade,Toyota,2015,7475000,51500,Hybrid
Aqua G grade,Toyota,2017,6250000,53100,Petrol
Aqua G Grade,Toyota,2013,5600000,62000,Hybrid
Aqua G Grade,Toyota,2014,6100000,64500,Hybrid
Aqua G Grade,Toyota,2012,4875000,64567,Petrol
Aqua G Grade,Toyota,2014,6100000,65395,Hybrid
Aqua G Grade,Toyota,2013,5600000,66000,Hybrid
Aqua G Grade,Toyota,2012,4875000,67000,Hybrid
Aqua G Grade,Toyota,2013,5600000,68000,Hybrid
Aqua G Grade,Toyota,2013,5600000,68000,Hybrid
Aqua G Grade,Toyota,2013,5600000,68000,Petrol
Aqua G Grade,Toyota,2012,4875000,69500,Petrol
Aqua G Grade,Toyota,2012,4875000,71000,Hybrid
Aqua G Grade,Toyota,2013,5600000,74600,Hybrid
Aqua G Grade,Toyota,2012,4875000,75000,Hybrid
Aqua G Grade,Toyota,2013,5600000,76000,Hybrid
Aqua G Grade,Toyota,2012,4875000,78000,Hybrid
Aqua G Grade,Toyota,2012,4875000,80000,Hybrid
Aqua G Grade,Toyota,2014,6100000,80000,Hybrid
Aqua G Grade,Toyota,2014,6100000,80000,Hybrid
Aqua G Grade,Toyota,2012,4875000,82000,Hybrid
Aqua G Grade,Toyota,2013,5600000,83000,Hybrid
Aqua G Grade,Toyota,2014,6100000,83000,Petrol
Aqua G Grade,Toyota,2014,6100000,86000,Hybrid
Aqua G Grade,Toyota,2013,5600000,88000,Hybrid
Aqua G Grade,Toyota,2012,4875000,90000,Hybrid
